species,rule,country_code,admin1_region_code
mammalia;chordata;canidae;canis;lupus dingo,block,IRL,
mammalia;chordata;canidae;canis;lupus dingo,block,IRN,
mammalia;chordata;canidae;canis;lupus dingo,block,IRQ,
mammalia;chordata;canidae;canis;lupus dingo,block,ISL,
mammalia;chordata;canidae;canis;lupus dingo,block,ISR,
mammalia;chordata;canidae;canis;lupus dingo,block,ITA,
mammalia;chordata;canidae;canis;lupus dingo,block,JAM,
mammalia;chordata;canidae;canis;lupus dingo,block,JEY,
mammalia;chordata;canidae;canis;lupus dingo,block,JOR,
mammalia;chordata;canidae;canis;lupus dingo,block,JPN,
mammalia;chordata;canidae;canis;lupus dingo,block,KAZ,
mammalia;chordata;canidae;canis;lupus dingo,block,KEN,
mammalia;chordata;canidae;canis;lupus dingo,block,KGZ,
mammalia;chordata;canidae;canis;lupus dingo,block,KHM,
mammalia;chordata;canidae;canis;lupus dingo,block,KIR,
mammalia;chordata;canidae;canis;lupus dingo,block,KNA,
mammalia;chordata;canidae;canis;lupus dingo,block,KOR,
mammalia;chordata;canidae;canis;lupus dingo,block,KWT,
mammalia;chordata;canidae;canis;lupus dingo,block,LAO,
mammalia;chordata;canidae;canis;lupus dingo,block,LBN,
mammalia;chordata;canidae;canis;lupus dingo,block,LBR,
mammalia;chordata;canidae;canis;lupus dingo,block,LBY,
mammalia;chordata;canidae;canis;lupus dingo,block,LCA,
mammalia;chordata;canidae;canis;lupus dingo,block,LIE,
mammalia;chordata;canidae;canis;lupus dingo,block,LKA,
mammalia;chordata;canidae;canis;lupus dingo,block,LSO,
mammalia;chordata;canidae;canis;lupus dingo,block,LTU,
mammalia;chordata;canidae;canis;lupus dingo,block,LUX,
mammalia;chordata;canidae;canis;lupus dingo,block,LVA,
mammalia;chordata;canidae;canis;lupus dingo,block,MAC,
mammalia;chordata;canidae;canis;lupus dingo,block,MAF,
mammalia;chordata;canidae;canis;lupus dingo,block,MAR,
mammalia;chordata;canidae;canis;lupus dingo,block,MCO,
mammalia;chordata;canidae;canis;lupus dingo,block,MDA,
mammalia;chordata;canidae;canis;lupus dingo,block,MDG,
mammalia;chordata;canidae;canis;lupus dingo,block,MDV,
mammalia;chordata;canidae;canis;lupus dingo,block,MEX,
mammalia;chordata;canidae;canis;lupus dingo,block,MHL,
mammalia;chordata;canidae;canis;lupus dingo,block,MKD,
mammalia;chordata;canidae;canis;lupus dingo,block,MLI,
mammalia;chordata;canidae;canis;lupus dingo,block,MLT,
mammalia;chordata;canidae;canis;lupus dingo,block,MMR,
mammalia;chordata;canidae;canis;lupus dingo,block,MNE,
mammalia;chordata;canidae;canis;lupus dingo,block,MNG,
mammalia;chordata;canidae;canis;lupus dingo,block,MNP,
mammalia;chordata;canidae;canis;lupus dingo,block,MOZ,
mammalia;chordata;canidae;canis;lupus dingo,block,MRT,
mammalia;chordata;canidae;canis;lupus dingo,block,MSR,
mammalia;chordata;canidae;canis;lupus dingo,block,MTQ,
mammalia;chordata;canidae;canis;lupus dingo,block,MUS,
mammalia;chordata;canidae;canis;lupus dingo,block,MWI,
mammalia;chordata;canidae;canis;lupus dingo,block,MYT,
mammalia;chordata;canidae;canis;lupus dingo,block,NAM,
mammalia;chordata;canidae;canis;lupus dingo,block,NCL,
mammalia;chordata;canidae;canis;lupus dingo,block,NER,
mammalia;chordata;canidae;canis;lupus dingo,block,NFK,
mammalia;chordata;canidae;canis;lupus dingo,block,NGA,
mammalia;chordata;canidae;canis;lupus dingo,block,NIC,
mammalia;chordata;canidae;canis;lupus dingo,block,NIU,
mammalia;chordata;canidae;canis;lupus dingo,block,NLD,
mammalia;chordata;canidae;canis;lupus dingo,block,NOR,
mammalia;chordata;canidae;canis;lupus dingo,block,NPL,
mammalia;chordata;canidae;canis;lupus dingo,block,NRU,
mammalia;chordata;canidae;canis;lupus dingo,block,NZL,
mammalia;chordata;canidae;canis;lupus dingo,block,OMN,
mammalia;chordata;canidae;canis;lupus dingo,block,PAK,
mammalia;chordata;canidae;canis;lupus dingo,block,PAN,
mammalia;chordata;canidae;canis;lupus dingo,block,PCN,
mammalia;chordata;canidae;canis;lupus dingo,block,PER,
mammalia;chordata;canidae;canis;lupus dingo,block,PHL,
mammalia;chordata;canidae;canis;lupus dingo,block,PLW,
mammalia;chordata;canidae;canis;lupus dingo,block,POL,
mammalia;chordata;canidae;canis;lupus dingo,block,PRI,
mammalia;chordata;canidae;canis;lupus dingo,block,PRK,
mammalia;chordata;canidae;canis;lupus dingo,block,PRT,
mammalia;chordata;canidae;canis;lupus dingo,block,PRY,
mammalia;chordata;canidae;canis;lupus dingo,block,PSE,
mammalia;chordata;canidae;canis;lupus dingo,block,PYF,
mammalia;chordata;canidae;canis;lupus dingo,block,QAT,
mammalia;chordata;canidae;canis;lupus dingo,block,REU,
mammalia;chordata;canidae;canis;lupus dingo,block,ROU,
mammalia;chordata;canidae;canis;lupus dingo,block,RUS,
mammalia;chordata;canidae;canis;lupus dingo,block,RWA,
mammalia;chordata;canidae;canis;lupus dingo,block,SAU,
mammalia;chordata;canidae;canis;lupus dingo,block,SDN,
mammalia;chordata;canidae;canis;lupus dingo,block,SEN,
mammalia;chordata;canidae;canis;lupus dingo,block,SGP,
mammalia;chordata;canidae;canis;lupus dingo,block,SGS,
mammalia;chordata;canidae;canis;lupus dingo,block,SHN,
mammalia;chordata;canidae;canis;lupus dingo,block,SJM,
mammalia;chordata;canidae;canis;lupus dingo,block,SLB,
mammalia;chordata;canidae;canis;lupus dingo,block,SLE,
mammalia;chordata;canidae;canis;lupus dingo,block,SLV,
mammalia;chordata;canidae;canis;lupus dingo,block,SMR,
mammalia;chordata;canidae;canis;lupus dingo,block,SOM,
mammalia;chordata;canidae;canis;lupus dingo,block,SPM,
mammalia;chordata;canidae;canis;lupus dingo,block,SRB,
mammalia;chordata;canidae;canis;lupus dingo,block,SSD,
mammalia;chordata;canidae;canis;lupus dingo,block,STP,
mammalia;chordata;canidae;canis;lupus dingo,block,SUR,
mammalia;chordata;canidae;canis;lupus dingo,block,SVK,
mammalia;chordata;canidae;canis;lupus dingo,block,SVN,
mammalia;chordata;canidae;canis;lupus dingo,block,SWE,
mammalia;chordata;canidae;canis;lupus dingo,block,SWZ,
mammalia;chordata;canidae;canis;lupus dingo,block,SXM,
mammalia;chordata;canidae;canis;lupus dingo,block,SYC,
mammalia;chordata;canidae;canis;lupus dingo,block,SYR,
mammalia;chordata;canidae;canis;lupus dingo,block,TCA,
